id,title,franchise,release_year,genres,vote_average,vote_count,director,top_actors,keywords
6383,Welcome to the Rileys,,2010,Drama,6.5,141,Jake Scott,"Kristen Stewart, James Gandolfini, Melissa Leo","prostitute, rape, stripper, independent film, teenage girl"
6384,Zeitgeist: Moving Forward,Zeitgeist,2011,Documentary,6.9,70,Peter Joseph,"Robert Sapolsky, Gábor Máté, Richard G. Wilkinson",independent film
6385,No Strings Attached,,2011,"Comedy, Romance",6.1,1367,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline","father son relationship, friends, male female relationship, best friend, best friends in love"
6386,The Lincoln Lawyer,,2011,"Crime, Drama, Thriller",7.0,923,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe","judge, arrest, private investigator"
6387,The Rite,,2011,"Drama, Horror, Thriller",5.8,577,Mikael Håfström,"Anthony Hopkins, Colin O'Donoghue, Alice Braga","vatican, hospital"
6388,Dog Pound,,2010,Drama,7.5,104,Kim Chapiron,"Adam Butcher, Shane Kippel, Mateo Morales",
6389,All Star Superman,,2011,"Action, Adventure, Animation",6.8,121,Sam Liu,"James Denton, Christina Hendricks, Anthony LaPaglia","dc comics, superhero, super powers, superhuman strength"
6390,From Prada to Nada,,2011,"Comedy, Drama, Romance",5.0,87,Angel Gracia,"Camilla Belle, Alexa PenaVega, April Bowlby","tattoo, cooking, sacrifice, student, aftercreditsstinger"
6391,Country Strong,,2010,"Drama, Romance",5.9,80,Shana Feste,"Gwyneth Paltrow, Garrett Hedlund, Tim McGraw","suicide, alcohol, adultery, country music, bar"
6392,Unknown,,2011,"Action, Mystery, Thriller",6.5,1288,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones","taxi, hotel, coma, taxi driver, prince"
6393,Sanctum,,2011,"Action, Thriller",5.8,347,Alister Grierson,"Ioan Gruffudd, Richard Roxburgh, Alice Parkinson","cave, water, adventure"
6394,Cedar Rapids,,2011,Comedy,5.9,135,Miguel Arteta,"Anne Heche, Ed Helms, Sigourney Weaver","hotel, infidelity, one-night stand, friendship, swimming pool"
6395,Mirrors 2,Mirrors,2010,"Horror, Mystery, Thriller",5.4,110,Víctor García,"Nick Stahl, William Katt, Emmanuelle Vaugier",
6396,Gnomeo & Juliet,,2011,"Animation, Family",5.8,547,Kelly Asbury,"James McAvoy, Michael Caine, Maggie Smith","shakespeare, garden, forbidden love, kiss, love"
6397,Burke & Hare,,2010,"Comedy, Thriller",6.1,151,John Landis,"Simon Pegg, Andy Serkis, Isla Fisher","heart attack, black humor, murder, cruelty"
6398,Castaway on the Moon,,2009,"Comedy, Drama, Romance",8.1,130,Lee Hae-Jun,"Jung Jae-young, Jung Ryeo-won, Yang Mi-kyung","suicide attempt, isolation, loneliness"
6399,Vanishing on 7th Street,,2010,"Horror, Mystery, Thriller",4.8,165,Brad Anderson,"Hayden Christensen, Thandie Newton, John Leguizamo","darkness, suspense"
6400,Paul,,2011,"Adventure, Comedy, Science Fiction",6.5,1825,Greg Mottola,"Seth Rogen, Simon Pegg, Nick Frost","alien, duringcreditsstinger, 1980s"
6401,Submarino,,2010,Drama,7.0,44,Thomas Vinterberg,"Jakob Cedergren, Peter Plaugborg, Patricia Schumann",
6402,Desert Flower,,2009,Drama,7.2,82,Sherry Hormann,"Liya Kebede, Sally Hawkins, Craig Parkinson","africa, based on novel, wilderness, based on true story, united nations"
6403,The Infidel,,2009,"Comedy, Drama",6.0,45,Josh Appignanesi,"Archie Panjabi, Omid Djalili, Igal Naor","muslim, culture clash, satire, independent film"
6404,The Punch Bowl,,1944,Comedy,6.4,41,Helmut Weiss,"Heinz Rühmann, Karin Himboldt, Hilde Sessak",graduation
6405,Drive Angry,,2011,"Action, Crime, Fantasy, Thriller",5.3,608,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner",
6406,Rango,,2011,"Adventure, Animation, Comedy, Family, Western",6.6,2094,Gore Verbinski,"Johnny Depp, Isla Fisher, Ned Beatty","sheriff, las vegas"
6407,Take Me Home Tonight,,2011,"Comedy, Drama, Romance",6.2,215,Michael Dowse,"Topher Grace, Anna Faris, Dan Fogler","becoming an adult, lie, night, sister, job"
6408,Confessions,,2010,"Drama, Mystery, Thriller",7.6,233,Tetsuya Nakashima,"松隆子, Masaki Okada, Yoshino Kimura",child murder
6409,The Adjustment Bureau,,2011,"Romance, Science Fiction, Thriller",6.5,1677,George Nolfi,"Matt Damon, Emily Blunt, John Slattery","hotel, dancer, senator, future, plan"
6410,Happythankyoumoreplease,,2010,"Comedy, Romance",6.4,89,Josh Radnor,"Josh Radnor, Malin Åkerman, Kate Mara","independent film, young boy"
6411,Cropsey,,2010,"Documentary, Horror",6.1,58,Joshua Zeman,Greg Cusick,"independent film, woman director"
6412,The Mechanic,Mechanic,2011,"Action, Crime, Thriller",6.3,1066,Simon West,"Jason Statham, Ben Foster, Donald Sutherland","poison, chicago, prostitute, martial arts, assassin"
6413,Hall Pass,,2011,Comedy,5.4,627,Bobby Farrelly,"Owen Wilson, Jason Sudeikis, Jenna Fischer","wife husband relationship, marriage, freedom, friends"
6414,The Eagle,,2011,"Adventure, Drama",5.9,426,Kevin Macdonald,"Channing Tatum, Mark Strong, Jamie Bell","roman empire, slavery, ancient rome, honor, disappearance"
6415,I Am Number Four,,2011,"Action, Adventure, Science Fiction, Thriller",5.9,1606,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer","secret identity, alien, teenage boy, based on young adult novel"
6416,Battle: Los Angeles,,2011,"Action, Science Fiction",5.5,1462,Jonathan Liebesman,"Aaron Eckhart, Ramón Rodríguez, Will Rothhaar","saving the world, hero, chaos, retirement, survivor"
6417,Summer Wars,,2009,Animation,7.4,265,Mamoru Hosoda,"Mitsuki Tanimura, Nanami Sakuraba, Sumiko Fuji","artificial intelligence, card game, hacker, virtual reality, computer"
6418,Pooh's Grand Adventure: The Search for Christopher Robin,,1997,"Animation, Family",6.3,47,Karl Geurs,"Jim Cummings, John Fiedler, Ken Sansom",
6419,Norwegian Wood,,2010,"Drama, Romance",6.6,61,Tran Anh Hung,"Rinko Kikuchi, Kiko Mizuhara, Reika Kirishima","teenager, reading"
6420,The Sunset Limited,,2011,Drama,7.1,110,Tommy Lee Jones,"Tommy Lee Jones, Samuel L. Jackson",
6421,Mars Needs Moms,,2011,"Adventure, Animation, Family",5.6,202,Simon Wells,"Seth Green, Joan Cusack, Dan Fogler","boy, alien, rescue, alien invasion, based on children's book"
6422,Scooby-Doo! The Mystery Begins,Scooby-Doo,2009,"Animation, Comedy, Fantasy, Mystery",5.7,91,Brian Levant,"Frank Welker, Hayley Kiyoko, Kate Melton","mystery, spirit, dog"
6423,Scooby-Doo! Curse of the Lake Monster,Scooby-Doo,2010,"Adventure, Comedy, Fantasy, Mystery",5.5,66,Brian Levant,"Robbie Amell, Hayley Kiyoko, Kate Melton",
6424,The House of Small Cubes,,2008,"Animation, Drama, Family",7.9,90,Kunio Katō,长泽雅美,"oscar award, water, house, loneliness, scuba diving"
6425,Elite Squad: The Enemy Within,Elite Squad,2010,"Action, Crime, Drama",7.5,477,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro","brazilian, drug traffic, police, jail, torture"
6426,Melissa P.,,2005,Drama,4.1,96,Luca Guadagnino,"María Valverde, Letizia Ciampa, Primo Reggiani","rape, adolescence, mother daughter relationship"
6427,Mesrine: Public Enemy #1,The Mesrine,2008,"Action, Crime, Drama, Thriller",7.3,223,Jean-François Richet,"Vincent Cassel, Ludivine Sagnier, Mathieu Amalric",
6428,Just Go with It,,2011,"Comedy, Romance",6.3,1588,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Nicole Kidman","beach, blackmail, plastic surgery, marriage, love"
6429,Trophy Wife,,2010,Comedy,6.1,105,François Ozon,"Catherine Deneuve, Gérard Depardieu, Fabrice Luchini",business man
6430,Cave of Forgotten Dreams,,2010,"Documentary, Family",7.1,85,Werner Herzog,"Werner Herzog, Dominique Baffier, Jean Clottes","secret, cave, scientist"
6431,Red Riding Hood,,2011,"Fantasy, Horror, Thriller",5.7,958,Catherine Hardwicke,"Amanda Seyfried, Gary Oldman, Billy Burke","winter, fantasy, fairy tale, werewolf, aftercreditsstinger"
6432,"Big Mommas: Like Father, Like Son",Big Momma's House,2011,"Action, Comedy, Crime",5.3,322,John Whitesell,"Martin Lawrence, Brandon T. Jackson, Portia Doubleday","undercover, fbi, sequel, comedy, disguise"
6433,Super,,2010,"Action, Comedy, Drama",6.6,446,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler","bomb, gun, drug dealer, costume, party"
6434,Troll Hunter,,2010,"Fantasy, Horror",6.7,590,André Øvredal,"Otto Jespersen, Hans Morten Hansen, Tomas Alf Larsen","hunter, mountain, wilderness, adventure, forest"
6435,Source Code,,2011,"Mystery, Science Fiction, Thriller",7.1,2752,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga","bomb, identity, fantasy, suspicion, time travel"
6436,Jane Eyre,,2011,"Drama, Romance",7.0,438,Cary Fukunaga,"Mia Wasikowska, Jamie Bell, Michael Fassbender","smoking, man-woman relation, painting, friendship, prayer"
6437,Sucker Punch,,2011,"Action, Fantasy, Thriller",5.9,1661,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone","brothel, fantasy, asylum, escape, robot"
6438,Essential Killing,,2010,"Thriller, War",5.9,42,Jerzy Skolimowski,"Vincent Gallo, Emmanuelle Seigner, Zach Cohen",
6439,Chalet Girl,,2011,"Comedy, Romance",6.4,209,Phil Traill,"Felicity Jones, Ed Westwick, Brooke Shields",competition
6440,The New Daughter,,2009,"Horror, Thriller",5.2,109,Luis Berdejo,"Kevin Costner, Ivana Baquero, Gattlin Griffith",
6441,BURN·E,,2008,"Animation, Family",7.8,250,Angus MacLane,"Angus MacLane, Tessa Swigart, Ben Burtt","space, robot, short, pixar animation"
6442,Beneath Hill 60,,2010,"Drama, History, War",7.2,41,Jeremy Sims,"Brendan Cowell, Harrison Gilbertson, Steve Le Marquand",
6443,Senna,,2010,Documentary,8.1,282,Asif Kapadia,"Ayrton Senna, Alain Prost, Frank Williams","brazilian, career, legend, sport, rivalry"
6444,Death Note: The Last Name,Death Note,2006,"Fantasy, Mystery, Thriller",6.7,113,Shusuke Kaneko,"Tatsuya Fujiwara, Kenichi Matsuyama, Erika Toda","manga, based on comic"
6445,Insidious,Insidious,2010,"Horror, Thriller",6.8,1775,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins",aftercreditsstinger
6446,Meek's Cutoff,,2010,"Drama, Western",6.5,79,Kelly Reichardt,"Michelle Williams, Bruce Greenwood, Will Patton","gold, tree, settler, family relationships, native american"
6447,Hobo with a Shotgun,,2011,"Action, Comedy, Thriller",5.7,213,Jason Eisener,"Rutger Hauer, Gregory Smith, Robb Wells","female nudity, prostitute, shotgun, pimp, underwear"
6448,L: Change the World,Death Note,2008,"Action, Fantasy, Mystery, Science Fiction, Thriller",5.9,74,Hideo Nakata,"Shunji Fujimura, Mayuko Fukuda, Sei Hiraizumi",sequel
6449,Win Win,,2011,"Comedy, Drama",6.7,176,Tom McCarthy,"Paul Giamatti, Alex Shaffer, Amy Ryan","sport, coach, lawyer"
6450,Room in Rome,,2010,"Drama, Romance",5.6,135,Julio Médem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso","female nudity, sex, rome, hotel, hotel room"
6451,Dead Space: Downfall,Dead Space,2008,"Animation, Horror, Science Fiction, Thriller",5.9,87,Chuck Patton,"Bruce Boxleitner, Kelly Hu, Jeff Bennett","infection, extreme violence, violence, splatter, adult animation"
6452,Boy,,2010,"Comedy, Drama",7.5,66,Taika Waititi,"James Rolleston, Te Aho Aho Eketone-Whitu, Taika Waititi","new zealand, farm, duringcreditsstinger"
6453,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid,2011,"Comedy, Family",6.3,250,David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris",based on novel
6454,Henry's Crime,,2010,"Comedy, Crime",5.8,110,Malcolm Venville,"Keanu Reeves, Vera Farmiga, James Caan",vomit
6455,Hop,,2011,"Animation, Comedy, Family",5.5,338,Tim Hill,"Russell Brand, James Marsden, Kaley Cuoco","aftercreditsstinger, live action and animation"
6456,13 Assassins,,2010,"Action, Adventure, Drama",7.1,362,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya","japan, suicide, samurai, immortality, remake"
6457,Hanna,,2011,"Action, Adventure, Thriller",6.5,1284,Joe Wright,"Saoirse Ronan, Eric Bana, Vicky Krieps","assassin, self sacrifice, strip club, secret agent, training"
6458,New Kids Turbo,New Kids,2010,"Action, Comedy",6.3,73,Steffen Haars,"Tim Haars, Huub Smit, Wesley van Gaalen",
6459,Easy Money,Easy Money,2010,"Crime, Drama, Thriller",6.5,63,Daniel Espinosa,"Joel Kinnaman, Matias Varela, Dragomir Mrsic",
6460,Arthur,,2011,"Comedy, Romance",5.3,270,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig","nanny, remake, billionaire, duringcreditsstinger"
6461,Scream 4,Scream,2011,"Horror, Mystery",6.1,930,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox","sheriff, book, knife, horror, rescue"
6462,Rio,Rio,2011,"Adventure, Animation, Comedy, Family",6.5,2213,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, Leslie Mann","brazil, bird, musical, canary, animal"
6463,The Princess of Montpensier,,2010,"Action, Drama, History, Romance",6.4,42,Bertrand Tavernier,"Mélanie Thierry, Lambert Wilson, Gaspard Ulliel","mask, passion, forbidden love, love"
6464,Melancholia,,2011,"Drama, Science Fiction",7.0,915,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland",power outage
6465,Forever Strong,,2008,Drama,6.9,56,Ryan Little,"Neal McDonough, Gary Cole, Sean Astin",sport
6466,Thor,Thor,2011,"Action, Adventure, Fantasy",6.6,6678,Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston","new mexico, marvel comic, superhero, based on comic, redemption"
6467,Louis C.K.: Hilarious,,2010,Comedy,8.2,70,Louis C.K.,Louis C.K.,stand-up comedy
6468,Louis C.K.: Chewed Up,,2008,Comedy,8.3,46,Louis C.K.,Louis C.K.,stand-up comedy
6469,Atlas Shrugged Part I,Atlas Shrugged,2011,"Drama, Mystery, Science Fiction, Thriller",5.0,61,Paul Johansson,"Taylor Schilling, Paul Johansson, Michael O'Keefe","business, motorcycle"
6470,Louis C.K.: Shameless,,2007,Comedy,7.8,43,Steven J. Santos,Louis C.K.,stand-up comedy
6471,Welcome to the South,Benvenuti al...,2010,Comedy,6.6,395,Luca Miniero,"Claudio Bisio, Angela Finocchiaro, Nando Paone","italy, cheating, lie, village"
6472,The Resident,,2011,"Mystery, Thriller",5.3,168,Antti Jokinen,"Christopher Lee, Lee Pace, Hilary Swank","underwear, hammer horror, voyeurism"
6473,That's What I Am,,2011,"Comedy, Drama, Family",6.7,57,Michael Pavone,"Ed Harris, Molly Parker, Amy Madigan",
6474,Rabbit Without Ears 2,Keinohrhasen Filmreihe,2009,"Comedy, Romance",6.1,99,Til Schweiger,"Til Schweiger, Nora Tschirner, Matthias Schweighöfer",
6475,Bloomington,,2010,"Drama, Romance",6.2,40,Fernanda Cardoso,"Allison McAtee, Sarah Stouffer, Katherine Ann McGregor","independent film, gay interest, lesbian, woman director"
6476,Water for Elephants,,2011,"Drama, Romance",6.7,879,Francis Lawrence,"Robert Pattinson, Reese Witherspoon, Christoph Waltz",clown
6477,The Names of Love,,2010,"Comedy, Drama, Romance",7.3,94,Michel Leclerc,"Jacques Gamblin, Sara Forestier, Zinedine Soualem","female nudity, political"
6478,African Cats,,2011,"Adventure, Documentary, Family",7.1,74,Alastair Fothergill,Samuel L. Jackson,"africa, cat, lion, duringcreditsstinger"
6479,Kill the Irishman,,2011,"Action, Crime, Drama, Thriller",6.7,166,Jonathan Hensleigh,"Ray Stevenson, Vincent D'Onofrio, Val Kilmer",mafia
6480,Fast Five,The Fast and the Furious,2011,"Action, Crime, Thriller",7.1,2491,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster","brazil, fbi, freedom, escape from prison, car crash"
6481,Incendies,,2010,"Drama, Mystery, War",7.9,496,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette","prison, middle east, rape, muslim, son"
6482,Soul Surfer,,2011,"Action, Drama, Family",6.9,355,Sean McNamara,"AnnaSophia Robb, Helen Hunt, Lorraine Nicholson","competition, based on novel, biography, sport, duringcreditsstinger"
6483,Something Borrowed,,2011,"Comedy, Drama, Romance",5.9,304,Luke Greenfield,"Kate Hudson, Ginnifer Goodwin, John Krasinski","new york, alcohol, based on novel, secret, cheating"
6484,Bridesmaids,,2011,"Comedy, Romance",6.5,1697,Paul Feig,"Kristen Wiig, Rose Byrne, Maya Rudolph","competition, jealousy, fight, female friendship, wealth"
6485,Priest,,2011,"Action, Fantasy, Horror, Science Fiction, Thriller",5.4,710,Scott Stewart,"Paul Bettany, Karl Urban, Cam Gigandet","vampire, post-apocalyptic, dystopia"
6486,The Beaver,,2011,Drama,6.2,281,Jodie Foster,"Jodie Foster, Mel Gibson, Jennifer Lawrence","puppet, woman director"
6487,The Tortured,,2010,Horror,5.3,53,Robert Lieberman,"Erika Christensen, Jesse Metcalfe, Bill Moseley","wife husband relationship, death of a child, child murder"
6488,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean,2011,"Action, Adventure, Fantasy",6.4,5068,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane","sea, captain, mutiny, sword, sailing"
6489,Midnight in Paris,,2011,"Comedy, Fantasy, Romance",7.4,2049,Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller","paris, painter, detective, based on novel, screenwriter"
6490,The Kid with a Bike,,2011,Drama,7.2,119,Luc Dardenne,"Cécile de France, Thomas Doret, Jérémie Renier","redemption, orphan"
6491,The Man from Nowhere,,2010,"Action, Crime, Thriller",7.6,338,Lee Jeong-Beom,"Won Bin, Kim Sae-ron, Kim Tae-hoon","martial arts, assassin, hero, hitman, friendship"
6492,The Tree of Life,,2011,"Drama, Fantasy",6.5,1009,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain","philosophy, father son relationship, brother sister relationship, tree, afterlife"
6493,The Hangover Part II,The Hangover,2011,Comedy,6.2,3836,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis","undercover cop, duringcreditsstinger"
6494,Nothing to Declare,,2010,Comedy,5.7,275,Dany Boon,"Julie Bernard, Dany Boon, Benoît Poelvoorde",
6495,Pina,,2011,Documentary,7.3,76,Wim Wenders,"Regina Advento, Malou Airaudo, Ruth Amarante",
6496,The Roommate,,2011,"Drama, Horror, Thriller",5.3,230,Christian E. Christiansen,"Minka Kelly, Leighton Meester, Cam Gigandet","jealousy, roommate, obsession, love, murder"
6497,Trust,,2010,"Crime, Drama, Thriller",6.6,314,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato","rape, obsession, lie, job, independent film"
6498,Open Season 3,Open Season,2010,"Animation, Comedy, Family",5.4,113,Cody Cameron,"Ciara Bravo, Charlie Bright, Cody Cameron",
6499,Attack the Block,,2011,"Action, Comedy, Science Fiction",6.3,748,Joe Cornish,"Nick Frost, Jodie Whittaker, John Boyega","street gang, fireworks, chase, arrest, car crash"
6500,The Way,,2010,"Adventure, Comedy, Drama",7.2,166,Emilio Estevez,"Martin Sheen, Emilio Estevez, Deborah Kara Unger","france, father son relationship, spain, road trip, travel"
6501,Let the Bullets Fly,,2010,"Action, Comedy, Documentary",7.1,65,Jiang Wen,"Jiang Wen, Chow Yun-fat, Ge You","china, satire"
6502,The Tunnel,,2011,"Horror, Mystery, Thriller",5.6,117,Carlo Ledesma,"Bel Deliá, Steve Davis, Luke Arnold","cover-up, dark, found footage"
6503,Kung Fu Panda 2,Kung Fu Panda,2011,"Animation, Family",6.7,1925,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman","martial arts, hope, mission, woman director"
6504,X-Men: First Class,X-Men,2011,"Action, Adventure, Science Fiction",7.1,5252,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence","cia, mutant, marvel comic, superhero, based on comic"
6505,Submarine,,2011,"Comedy, Drama, Romance",7.4,452,Richard Ayoade,"Craig Roberts, Sally Hawkins, Paddy Considine","beach, friendship, bullying, teenage girl, loss of virginity"
6506,The Other Woman,,2010,Drama,6.0,131,Don Roos,"Natalie Portman, Scott Cohen, Charlie Tahan",based on novel
6507,Everything Must Go,,2010,"Comedy, Drama, Romance",6.0,210,Dan Rush,"Rebecca Hall, Will Ferrell, Glenn Howerton","alcohol, arizona, beer, playboy, independent film"
6508,Red White & Blue,,2010,"Drama, Thriller",5.8,46,Simon Rumley,"Amanda Fuller, Marc Senter, Nick Ashy Holden","sex, texas, underwear, beer, terminal illness"
6509,Beginners,,2010,"Comedy, Drama, Romance",6.8,353,Mike Mills,"Ewan McGregor, Christopher Plummer, Mélanie Laurent","gay, loss of mother, secret, coming out, loss of father"
6510,Super 8,,2011,"Mystery, Science Fiction, Thriller",6.6,2496,J.J. Abrams,"Joel Courtney, Elle Fanning, Riley Griffiths","1970s, secret, alien, pistol, duringcreditsstinger"
6511,Lottery Ticket,,2010,Comedy,5.7,56,Erik White,"Shad Moss, Brandon T. Jackson, Naturi Naughton",
6512,Daydream Nation,,2010,"Drama, Romance",5.8,65,Michael Goldbach,"Kat Dennings, Reece Thompson, Josh Lucas","high school, independent film, serial killer, stoner"
6513,Bernie,,1996,Comedy,7.2,47,Albert Dupontel,"Claude Perron, Roland Blanche, Albert Dupontel",
6514,Green Lantern,,2011,"Action, Adventure, Science Fiction, Thriller",5.1,2551,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard","dc comics, transformation, superhero, alien, super powers"
6515,Elektra Luxx,Elektra Luxx,2010,"Action, Comedy, Drama",4.7,49,Sebastian Gutierrez,"Carla Gugino, Joseph Gordon-Levitt, Timothy Olyphant","independent film, best friends in love"
6516,Mickey's Twice Upon a Christmas,Mickey's Upon a Christmas,2004,"Animation, Family",7.1,58,Matthew O'Callaghan,"Wayne Allwine, Tony Anselmo, Bill Farmer","holiday, woman director"
6517,Mr. Popper's Penguins,,2011,"Comedy, Family",5.7,775,Mark Waters,"Jim Carrey, Carla Gugino, Madeline Carroll","taxi, restaurant, zoo, little boy, aftercreditsstinger"
6518,Bad Teacher,,2011,Comedy,5.4,1634,Jake Kasdan,"Cameron Diaz, Jason Segel, Justin Timberlake","classroom, teacher, school"
6519,Transformers: Dark of the Moon,Transformers,2011,"Action, Adventure, Science Fiction",6.1,3351,Michael Bay,"Shia LaBeouf, John Malkovich, Ken Jeong","moon, spacecraft, traitor, bodyguard, sabotage"
6520,Larry Crowne,,2011,"Comedy, Drama, Romance",5.7,369,Tom Hanks,"Tom Hanks, Julia Roberts, Bryan Cranston","classroom, college, teacher, diner, economics"
6521,Your Highness,,2011,Comedy,5.2,511,David Gordon Green,"Danny McBride, James Franco, Natalie Portman","kidnapping, traitor, virgin, prince, princess"
6522,YellowBrickRoad,,2010,"Horror, Thriller",4.9,54,Andy Mitton,"Michael Laurino, Anessa Ramsey, Alex Draper",woods
6523,Seconds Apart,,2011,"Horror, Thriller",5.6,40,Antonio Negret,"Edmund Entin, Gary Entin, Samantha Droke","brother brother relationship, hallucination, telekinesis, high school, twin brother"
6524,Too Big to Fail,,2011,Drama,6.9,53,Curtis Hanson,"William Hurt, Paul Giamatti, James Woods",wall street
6525,Takers,,2010,"Action, Crime, Drama, Thriller",6.1,399,John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon",heist
6526,Zookeeper,,2011,"Comedy, Family, Romance",5.3,509,Frank Coraci,"Kevin James, Rosario Dawson, Sylvester Stallone","talking animal, scientist, monkey, duringcreditsstinger"
6527,Horrible Bosses,Horrible Bosses,2011,"Comedy, Crime",6.4,2341,Seth Gordon,"Jennifer Aniston, Jason Bateman, Charlie Day","death of father, stakeout, duringcreditsstinger"
6528,Hunter Prey,,2009,"Science Fiction, Thriller",5.4,42,Sandy Collora,"Isaac C. Singleton Jr., Clark Bartram, Damion Poitier","alien life-form, science fiction"
6529,Cars 2,Cars,2011,"Adventure, Animation, Comedy, Family",5.8,2088,John Lasseter,"Owen Wilson, Larry the Cable Guy, Michael Caine","car race, sequel, comedy, anthropomorphism, best friend"
6530,Megan is Missing,,2011,"Drama, Horror, Mystery, Thriller",5.4,63,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite","camcorder, independent film, teenage girl, internet"
6531,The Ward,,2010,"Horror, Thriller",5.8,334,John Carpenter,"Lyndsy Fonseca, Amber Heard, Danielle Panabaker","nurse, farm, disappearance, surprise ending, duringcreditsstinger"
6532,Burn Notice: The Fall of Sam Axe,,2011,"Comedy, Crime, Drama, Mystery, Thriller",6.8,40,Jeffrey Donovan,"Bruce Campbell, Chandra West, Kiele Sanchez",
6533,Monte Carlo,,2011,"Adventure, Comedy, Romance",6.0,611,Thomas Bezucha,"Selena Gomez, Katie Cassidy, Cory Monteith","mistaken identity, american abroad"
6534,Read It and Weep,,2006,"Comedy, Drama, Family",5.3,44,Paul Hoen,"Kay Panabaker, Danielle Panabaker, Allison Scagliotti","based on novel, secret, puberty, book, high school"
6535,The Perfect Host,,2010,"Comedy, Crime, Thriller",6.2,136,Nick Tomnay,"David Hyde Pierce, Clayne Crawford, Nathaniel Parker",swimming pool
6536,Harry Potter and the Deathly Hallows: Part 2,Harry Potter,2011,"Adventure, Family, Fantasy",7.9,6141,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson","self sacrifice, magic, frog, sorcerer, school"
6537,Drive,,2011,"Action, Crime, Drama, Thriller",7.4,3832,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston","stuntman, blood splatter, independent film, police chase, extreme violence"
6538,Captain America: The First Avenger,Captain America,2011,"Action, Adventure, Science Fiction",6.6,7174,Joe Johnston,"Chris Evans, Hugo Weaving, Tommy Lee Jones","new york, usa, world war ii, nazis, marvel comic"
6539,"Crazy, Stupid, Love.",,2011,"Comedy, Drama, Romance",7.0,2522,Glenn Ficarra,"Steve Carell, Julianne Moore, Ryan Gosling","soulmates, midlife crisis, marriage crisis, relationship"
6540,One Day,,2011,"Drama, Romance",7.0,1006,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson","based on novel, comedian, job, love, male female relationship"
6541,The Poker House,,2008,Drama,6.1,47,Lori Petty,"Jennifer Lawrence, Selma Blair, Bokeem Woodbine","rape, drug abuse, independent film"
6542,Forget Me Not,,2009,"Drama, Horror, Romance",5.0,66,Tyler Oliver,"Carly Schroeder, Cody Linley, Brie Gabrielle",independent film
6543,The Guard,,2011,"Action, Comedy, Crime, Thriller",6.8,378,John Michael McDonagh,"Brendan Gleeson, Don Cheadle, Liam Cunningham","prostitute, blackmail, drug smuggle, rural setting"
6544,Quarantine 2: Terminal,Quarantine,2011,"Horror, Mystery, Science Fiction",4.8,121,John Pogue,"Mercedes Mason, Mattie Liptak, Josh Cooke",
6545,Winnie the Pooh,,2011,"Animation, Family",6.8,263,Stephen Anderson,"Jim Cummings, Travis Oates, Bud Luckey","tiger, aftercreditsstinger, duringcreditsstinger"
6546,The Woman,,2011,"Drama, Horror",5.9,145,Lucky McKee,"Pollyanna McIntosh, Sean Bridgers, Angela Bettis","female nudity, wound, suffering, sadism, sequel"
6547,Beverly Hills Chihuahua 2,Beverly Hills Chihuahua,2011,Family,5.4,60,Alex Zamm,"Odette Annable, George Lopez, Zachary Gordon",
